phrase,polarity,note
higher inflation,1,inflation running above target
elevated inflation,1,
persistently high inflation,1,
inflation remains elevated,1,
inflation has increased,1,
inflation pressures,1,
upside risks to inflation,1,
inflation expectations have risen,1,
strong labor market,1,
robust job gains,1,
tight labor market,1,
labor market remains strong,1,
overheating,1,
economy is strong,1,
above-trend growth,1,
resilient economic activity,1,
raise interest rates,1,
raising the target range,1,
further increases,1,
additional firming,1,
additional policy firming,1,
continue to tighten,1,
restrictive stance,1,
keep policy restrictive,1,
maintain restrictive,1,
higher for longer,1,
will remain restrictive,1,
reduce the size of its balance sheet,1,
balance sheet runoff,1,
vigilant,1,
remain vigilant against inflation,1,
committed to price stability,1,
strongly committed to,1,
determined to,1,
will take the necessary steps,1,
not yet time to ease,1,
premature to cut,1,
too early to declare victory,1,
inflation has eased,-1,
inflation has declined,-1,
inflation has moderated,-1,
inflation continues to ease,-1,
disinflation,-1,
price pressures have diminished,-1,
inflation expectations remain well anchored,-1,
softening labor market,-1,
labor market has cooled,-1,
rising unemployment,-1,
slowing job growth,-1,
weaker economic activity,-1,
economic activity has slowed,-1,
below-trend growth,-1,
downside risks to growth,-1,
signs of weakness,-1,
lower interest rates,-1,
reduce the target range,-1,
cut rates,-1,
ease policy,-1,
accommodative stance,-1,
policy accommodation,-1,
support economic activity,-1,
support the recovery,-1,
patient approach,-1,
in no rush,-1,
gradual pace of reductions,-1,
scope to ease,-1,
room to cut,-1,
downside risks have increased,-1,
increased uncertainty,-1,
financial conditions have tightened,-1,
risks to the outlook have shifted,-1,
balanced approach,0,neutral hedge word - excluded from scoring by default
